Title,descriptionNl,descriptionEn,Rating,Date,Time,language,subtitles,headphones,Preview URL
Rain Man,"Een meeslepende en inspirerende film over twee broers die een onverwachte reis maken. Charlie Babbitt ontdekt dat zijn autistische broer Raymond de erfgenaam is van het familiefortuin.","A gripping and inspiring film about two brothers who embark on an unexpected journey. Charlie Babbitt discovers that his autistic brother, Raymond, is the heir to the family fortune.",PG-13,2025-05-10,20:30,en,nl,n/a,https://www.youtube.com/watch?v=mlNwXuHUA8I
The Lion King,"De klassieke Disney-film over Simba, een jonge leeuw die zijn rechtmatige plek als koning moet opeisen.",The classic Disney film about Simba a young lion who must claim his rightful place as king.,PG,2026-06-14,21:00,nl,en,ar,https://www.youtube.com/watch?v=lFzVJEksoDY
The Gladiator,"Een gerespecteerd soldaat gevangen genomen door het Romeinse rijk, vechtend om zijn vrijheid terug te krijgen en herenigd te worden met zijn familie",A respected military officer enslaved by the Roman empire fighting to regain his freedom and be reunited with his family,PG-18,2026-02-15,23:20,en,nl,n/a,https://www.youtube.com/watch?v=owK1qxDselE
The Fellowship of the Ring,"Een verlegen Hobbit uit de Gouw en acht metgezellen beginnen aan een reis om de machtige Ene Ring te vernietigen en Midden-aarde te redden van de Duistere Heer Sauron!",A shy Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron!,PG-13,2026-06-21,20:30,en,nl,ar,https://www.youtube.com/watch?v=_nZdmwHrcnw
